,reply_settings,source,text,lang,referenced_tweets,created_at,conversation_id,author_id,id,public_metrics,in_reply_to_user_id
10,everyone,Twitter for iPhone,US education system has failed again. https://t.co/GupjKZilpq https://t.co/9vp0uJz8W8,en,"[{'type': 'quoted', 'id': '1529596266644226050'}]",2022-05-26T18:27:44.000Z,1529892054117101580,1473155256,1529892054117101580,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",
11,everyone,Twitter for iPhone,special  https://t.co/oJNEOawMO7,en,,2022-05-26T18:26:32.000Z,1529891751871361037,1473155256,1529891751871361037,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
12,everyone,Twitter for iPhone,@LeBronsCumSlut happy birthday buddy,en,"[{'type': 'replied_to', 'id': '1529788942350008320'}]",2022-05-26T17:09:19.000Z,1529788942350008320,1473155256,1529872320973635584,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",1528128341303341057
13,everyone,Twitter for iPhone,fuck bro https://t.co/cH7zes7XeH,en,"[{'type': 'quoted', 'id': '1529856286052982784'}]",2022-05-26T16:33:37.000Z,1529863335398805505,1473155256,1529863335398805505,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
14,everyone,Twitter for iPhone,NOT LIOTTA MAN??????,en,,2022-05-26T16:33:21.000Z,1529863270735269891,1473155256,1529863270735269891,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
15,everyone,Twitter for iPhone,@1GBZay chipotle and @t_bizzle124 ?,en,"[{'type': 'replied_to', 'id': '1529710045096714240'}]",2022-05-26T06:27:21.000Z,1529710045096714240,1473155256,1529710765128679426,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1494521180430249985
16,everyone,Twitter for iPhone,well hello pal @ChefTrillie_ https://t.co/uDyWUUlPTg,en,,2022-05-26T04:25:39.000Z,1529680135598882817,1473155256,1529680135598882817,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",
17,everyone,Twitter for iPhone,we look like a JV team out there dude,en,,2022-05-26T02:43:06.000Z,1529654330885824513,1473155256,1529654330885824513,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
18,everyone,Twitter for iPhone,it’s over. https://t.co/0KA1kGCHKu,en,,2022-05-26T02:32:18.000Z,1529651610867187715,1473155256,1529651610867187715,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
19,everyone,Twitter for iPhone,@cigsinmycup OHHHHHHH WE ARE SO BACK,en,"[{'type': 'replied_to', 'id': '1529565116580216832'}]",2022-05-25T20:52:14.000Z,1529565116580216832,1473155256,1529566032356069377,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1487599434951282695
20,everyone,Twitter for iPhone,you’re mindful of it all when your mind full of it all,en,,2022-05-25T20:38:07.000Z,1529562480263012353,1473155256,1529562480263012353,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
21,everyone,Twitter for iPhone,@stupidbumm damn it,en,"[{'type': 'replied_to', 'id': '1529560742168514565'}]",2022-05-25T20:35:11.000Z,1529560598714978304,1473155256,1529561739666280448,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1520865483989274629
22,everyone,Twitter for iPhone,@AndresssssR @MonsieurMatt25 https://t.co/sJXSTLzscH,und,"[{'type': 'replied_to', 'id': '1529550319671201793'}]",2022-05-25T19:54:35.000Z,1529548567458861061,1473155256,1529551521586749440,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1458578892533424134
23,everyone,Twitter for iPhone,this song has grown on me so much https://t.co/UvzsdYpRlL,en,,2022-05-25T18:20:58.000Z,1529527961933709322,1473155256,1529527961933709322,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
24,everyone,Twitter for iPhone,no fucking way a government official just said this after NINETEEN CHILDREN WERE GUNNED DOWN AT THEIR ELEMENTARY SCHOOL https://t.co/ZGZ7A8FnPr,en,"[{'type': 'quoted', 'id': '1529517778029449219'}]",2022-05-25T18:00:20.000Z,1529522770744381441,1473155256,1529522770744381441,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",
25,everyone,Twitter for iPhone,surprise https://t.co/EJ3YCWcAmx,en,,2022-05-25T16:53:37.000Z,1529505982715510785,1473155256,1529505982715510785,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 3, 'quote_count': 1}",
26,everyone,Twitter for iPhone,LMFAOOOOOOO https://t.co/M4C7Z49BYO,en,"[{'type': 'quoted', 'id': '1529315311933005824'}]",2022-05-25T05:12:44.000Z,1529329599443771396,1473155256,1529329599443771396,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
27,everyone,Twitter for iPhone,@BradMick3y my son,en,"[{'type': 'replied_to', 'id': '1529298670100926467'}]",2022-05-25T03:17:39.000Z,1529298670100926467,1473155256,1529300638328397824,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1074735807452323841
28,everyone,Twitter for iPhone,the amount of blowouts in these playoffs is nuts,en,,2022-05-25T02:50:45.000Z,1529293865739505665,1473155256,1529293865739505665,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
29,everyone,Twitter for iPhone,https://t.co/salxWuR4Ab https://t.co/Jkf9tV5MVl,und,"[{'type': 'quoted', 'id': '1529256685390512128'}]",2022-05-25T00:27:10.000Z,1529257732343218177,1473155256,1529257732343218177,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
30,everyone,Twitter for iPhone,RT @111arl: fuck you stupid whore. literally go rot in hell.,en,"[{'type': 'retweeted', 'id': '1529214270277177344'}]",2022-05-24T21:52:11.000Z,1529218732047966209,1473155256,1529218732047966209,"{'retweet_count': 9, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
31,everyone,Twitter for iPhone,@supreili psychos,fr,"[{'type': 'replied_to', 'id': '1529211900222967811'}]",2022-05-24T21:29:35.000Z,1529209911728828416,1473155256,1529213044902985732,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",841071758467817473
32,everyone,Twitter for iPhone,are we fucking serious https://t.co/8HmegNXEfa,en,"[{'type': 'quoted', 'id': '1529196464282517504'}]",2022-05-24T21:17:08.000Z,1529209911728828416,1473155256,1529209911728828416,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",
33,everyone,Twitter for iPhone,you typed this out and hit tweet https://t.co/xTfYlv87ri,en,"[{'type': 'quoted', 'id': '1529207223062302726'}]",2022-05-24T21:13:32.000Z,1529209002718023682,1473155256,1529209002718023682,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
34,everyone,Twitter for iPhone,fourteen children. fourteen families ruined. fourteen lives that just began. enough is enough.,en,,2022-05-24T20:46:27.000Z,1529202189247340544,1473155256,1529202189247340544,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",
35,everyone,Twitter for iPhone,"covid isn’t a huge threat so the freaks are back outside. and this is supposed to be the “greatest country in the world”, give me a fucking break.",en,,2022-05-24T20:44:46.000Z,1529201765232611332,1473155256,1529201765232611332,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
36,everyone,Twitter for iPhone,jesus fucking christ https://t.co/S8ypbQU962,en,"[{'type': 'quoted', 'id': '1529199745364897796'}]",2022-05-24T20:38:53.000Z,1529200283632513024,1473155256,1529200283632513024,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
37,everyone,Twitter for iPhone,@NotBGeezus lets be nice,en,"[{'type': 'replied_to', 'id': '1529175941737422848'}]",2022-05-24T19:07:38.000Z,1529175941737422848,1473155256,1529177319058948096,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2191610869
38,everyone,Twitter for iPhone,@NOTORlOUSONE are we serious,en,"[{'type': 'replied_to', 'id': '1529162942402412547'}]",2022-05-24T18:11:59.000Z,1529162942402412547,1473155256,1529163316005838849,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",823725472597102594
39,everyone,Twitter for iPhone,@NOTORlOUSONE https://t.co/qmfQvCZ49K,und,"[{'type': 'replied_to', 'id': '1529162787771097088'}]",2022-05-24T18:10:12.000Z,1529160372829278209,1473155256,1529162865000734721,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",823725472597102594
40,everyone,Twitter for iPhone,@NOTORlOUSONE #WeStandWithJeffPassan,und,"[{'type': 'replied_to', 'id': '1529160372829278209'}]",2022-05-24T18:01:25.000Z,1529160372829278209,1473155256,1529160654476673024,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",823725472597102594
41,everyone,Twitter for iPhone,*yeah this MAN one of the best producers ever,en,"[{'type': 'replied_to', 'id': '1529150749464223745'}]",2022-05-24T17:22:27.000Z,1529150749464223745,1473155256,1529150851222507520,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1473155256
42,everyone,Twitter for iPhone,Many Men- Metro https://t.co/goxoZZ5lRn,es,"[{'type': 'quoted', 'id': '1529147113061470209'}]",2022-05-24T17:22:03.000Z,1529150749464223745,1473155256,1529150749464223745,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
43,everyone,Twitter for iPhone,good tunes https://t.co/OehRKQKGct,en,,2022-05-24T17:13:00.000Z,1529148471617404930,1473155256,1529148471617404930,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
44,everyone,Twitter for iPhone,not giving Gorr CGI is going to give Bale so much freedom i love the decision https://t.co/RJSp2NZ3hF,en,"[{'type': 'quoted', 'id': '1528917337134473218'}]",2022-05-24T16:45:56.000Z,1529141658578821121,1473155256,1529141658578821121,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",
45,everyone,Twitter for iPhone,ok. https://t.co/LKsjv34dsW,und,"[{'type': 'quoted', 'id': '1528602039285972992'}]",2022-05-23T05:03:25.000Z,1528602479469944833,1473155256,1528602479469944833,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
46,everyone,Twitter for iPhone,Reggie Bullock been the best player for the Warriors tonight,en,,2022-05-23T03:25:07.000Z,1528577741439877120,1473155256,1528577741439877120,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
47,everyone,Twitter for iPhone,Wiggins going nuclear 😭,en,,2022-05-23T03:23:17.000Z,1528577279592435713,1473155256,1528577279592435713,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
48,everyone,Twitter for iPhone,@Julivsthewrld lol,und,"[{'type': 'replied_to', 'id': '1528569206270066689'}]",2022-05-23T02:51:55.000Z,1528569206270066689,1473155256,1528569386168205314,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1078535129000140800
49,everyone,Twitter for iPhone,LUKA ARE YOU SERIOUS,en,,2022-05-23T01:30:08.000Z,1528548803439214592,1473155256,1528548803439214592,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
50,everyone,Twitter for iPhone,Mavs getting good looks,en,,2022-05-23T01:14:08.000Z,1528544777180008448,1473155256,1528544777180008448,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
51,everyone,Twitter for iPhone,yeah this guy hates his family dude LMFAOOOOOOO https://t.co/b6jmDBnUEC,en,"[{'type': 'quoted', 'id': '1528540773846700033'}]",2022-05-23T00:59:20.000Z,1528541051480330240,1473155256,1528541051480330240,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",
52,everyone,Twitter for iPhone,@survivingparaga not well.,en,"[{'type': 'replied_to', 'id': '1528539761291325440'}]",2022-05-23T00:57:08.000Z,1528539761291325440,1473155256,1528540500428464134,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1528128341303341057
53,everyone,Twitter for iPhone,we love to see it brother https://t.co/RveYihrWl4,en,"[{'type': 'quoted', 'id': '1528529884179480577'}]",2022-05-23T00:18:44.000Z,1528530833388228608,1473155256,1528530833388228608,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
54,everyone,Twitter for iPhone,@xpxrtygetsmewet https://t.co/i9YLXlM43S,und,"[{'type': 'replied_to', 'id': '1528524821247627264'}]",2022-05-22T23:58:30.000Z,1528520481472622598,1473155256,1528525742690156552,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1509594167126634497
55,everyone,Twitter for iPhone,@xpxrtygetsmewet you’re welcome,en,"[{'type': 'replied_to', 'id': '1528524558520635393'}]",2022-05-22T23:54:38.000Z,1528520481472622598,1473155256,1528524769452236800,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1509594167126634497
56,everyone,Twitter for iPhone,@xpxrtygetsmewet 4’4,und,"[{'type': 'replied_to', 'id': '1528520481472622598'}]",2022-05-22T23:52:47.000Z,1528520481472622598,1473155256,1528524303775543297,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",1509594167126634497
57,everyone,Twitter for iPhone,RT @FarisMD16: Twitter can't convince me that Spider-Man Homecoming was a bad or mid movie. https://t.co/Jl47U9kleg,en,"[{'type': 'retweeted', 'id': '1528280571473960960'}]",2022-05-22T23:09:26.000Z,1528513396211077121,1473155256,1528513396211077121,"{'retweet_count': 1512, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
58,everyone,Twitter for iPhone,#goodtunes https://t.co/H42SenBXEf,und,,2022-05-22T23:08:58.000Z,1528513275800977408,1473155256,1528513275800977408,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
59,everyone,Twitter for iPhone,@1GBZay @countonjas https://t.co/9ZUTHZMtWD,und,"[{'type': 'replied_to', 'id': '1528511606379974659'}]",2022-05-22T23:03:00.000Z,1528510504523767809,1473155256,1528511776702316544,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1494521180430249985
60,everyone,Twitter for iPhone,@eagIesbetter WHAT,en,"[{'type': 'replied_to', 'id': '1528511478244024320'}]",2022-05-22T23:02:33.000Z,1528511478244024320,1473155256,1528511665012187142,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1134986413924134912
61,everyone,Twitter for iPhone,@countonjas you don’t even wanna know,en,"[{'type': 'replied_to', 'id': '1528510504523767809'}]",2022-05-22T23:01:55.000Z,1528510504523767809,1473155256,1528511501832699909,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",1266499575361273862
62,everyone,Twitter for iPhone,@eagIesbetter @pastornigg @1GBZay @TrustSwisho @countonjas aye fuckin YO,en,"[{'type': 'replied_to', 'id': '1528509887642226689'}]",2022-05-22T22:57:00.000Z,1528503898436096000,1473155256,1528510268111724546,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",1134986413924134912
63,everyone,Twitter for iPhone,@TrustSwisho alright 😭😭,en,"[{'type': 'replied_to', 'id': '1528503898436096000'}]",2022-05-22T22:33:07.000Z,1528503898436096000,1473155256,1528504256973754368,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1107817211547140096
64,everyone,Twitter for iPhone,@JohnsonKalet no,und,"[{'type': 'replied_to', 'id': '1528491995177660416'}]",2022-05-22T21:45:49.000Z,1528490930784854017,1473155256,1528492351424974848,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1528126544715161602
65,everyone,Twitter for iPhone,@JohnsonKalet no,und,"[{'type': 'replied_to', 'id': '1528491223857651712'}]",2022-05-22T21:43:33.000Z,1528490930784854017,1473155256,1528491783948214277,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",1528126544715161602
66,everyone,Twitter for iPhone,@PeterWo01729430 no,und,"[{'type': 'replied_to', 'id': '1528491331013775363'}]",2022-05-22T21:43:28.000Z,1528490930784854017,1473155256,1528491760309133313,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1528445279518744577
67,everyone,Twitter for iPhone,@YoungQington oh c’mon,fr,"[{'type': 'replied_to', 'id': '1528491335283523584'}]",2022-05-22T21:43:20.000Z,1528490930784854017,1473155256,1528491727975235585,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",736652591489253377
68,everyone,Twitter for iPhone,hacked holy fuck,en,"[{'type': 'replied_to', 'id': '1528490930784854017'}]",2022-05-22T21:40:20.000Z,1528490930784854017,1473155256,1528490973306798083,"{'retweet_count': 0, 'reply_count': 5, 'like_count': 1, 'quote_count': 1}",1473155256
69,everyone,Twitter for iPhone,me &amp; who?? https://t.co/L3khYPKN5m,en,,2022-05-22T21:40:10.000Z,1528490930784854017,1473155256,1528490930784854017,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",
70,everyone,Twitter for iPhone,now watching: https://t.co/GiihSYGoNq,en,,2022-05-22T21:22:22.000Z,1528486451830312962,1473155256,1528486451830312962,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
71,everyone,Twitter for iPhone,@RasAlTroll i wish,en,"[{'type': 'replied_to', 'id': '1528472154509033472'}]",2022-05-22T20:26:06.000Z,1528471664098435074,1473155256,1528472293172707328,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1523657792338505731
72,everyone,Twitter for iPhone,i just wanted an Oreo McFlurry man. https://t.co/ceJ5nxsGyi,en,,2022-05-22T20:23:37.000Z,1528471664098435074,1473155256,1528471664098435074,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
73,everyone,Twitter for iPhone,how is this guy free https://t.co/UWC0BI0t9G,en,"[{'type': 'quoted', 'id': '158438487715098624'}]",2022-05-22T19:46:21.000Z,1528462286867861508,1473155256,1528462286867861508,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
74,everyone,Twitter for iPhone,@111arl I’ll save her,en,"[{'type': 'replied_to', 'id': '1528441365851295745'}]",2022-05-22T18:31:10.000Z,1528441307240144897,1473155256,1528443367998341123,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1403486125948248066
75,everyone,Twitter for iPhone,sounds like i still have a chance 💯 https://t.co/QJB6UJo6YI,en,"[{'type': 'quoted', 'id': '1528271769949331456'}]",2022-05-22T18:00:46.000Z,1528435717558370304,1473155256,1528435717558370304,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
76,everyone,Twitter for iPhone,@301mair #HEY,und,"[{'type': 'replied_to', 'id': '1528414110261645313'}]",2022-05-22T16:35:23.000Z,1528414110261645313,1473155256,1528414230990422016,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1244396760459554817
77,everyone,Twitter for iPhone,i don’t care what she doing lol https://t.co/WOZdXN4KPH https://t.co/5DfVbu2w0F,en,"[{'type': 'quoted', 'id': '1528412682537385990'}]",2022-05-22T16:31:12.000Z,1528413178371182593,1473155256,1528413178371182593,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
78,everyone,Twitter for iPhone,"apologies and all due respect to Scholarships, but WAIT FOR U is Drake and Future’s best collab debate a wall",en,,2022-05-22T16:29:23.000Z,1528412718230867968,1473155256,1528412718230867968,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 3}",
79,everyone,Twitter for iPhone,that Mark Haynes guy is going to wake up to HELL in the morning LMFAOOOOOOO,en,,2022-05-22T06:21:13.000Z,1528259668350582786,1473155256,1528259668350582786,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
80,everyone,Twitter for iPhone,another one folks. https://t.co/tGJEcfc7if,en,"[{'type': 'replied_to', 'id': '1524089661165129731'}]",2022-05-22T06:16:03.000Z,1523025970479132672,1473155256,1528258370779717634,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1473155256
81,everyone,Twitter for iPhone,bro gonna feel like ASS in the morning https://t.co/fKNSCnZ93d,en,"[{'type': 'quoted', 'id': '1528251836607500288'}]",2022-05-22T05:51:38.000Z,1528252226300518401,1473155256,1528252226300518401,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 1}",
82,everyone,Twitter for iPhone,God. https://t.co/beuP9bmtEx,und,,2022-05-22T05:06:50.000Z,1528240948198637568,1473155256,1528240948198637568,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",
83,everyone,Twitter for iPhone,"RT @MiamiHEAT: Exhale.

2-1 series lead. https://t.co/Dkjo5yKMXj",en,"[{'type': 'retweeted', 'id': '1528214254263930881'}]",2022-05-22T03:26:18.000Z,1528215651998908416,1473155256,1528215651998908416,"{'retweet_count': 3773, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
84,everyone,Twitter for iPhone,EDRICE ADEBAYO I AM IN LOVE WITH YOU,en,,2022-05-22T03:04:35.000Z,1528210186430734344,1473155256,1528210186430734344,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
85,everyone,Twitter for iPhone,"i’m sorry, WHAT???? https://t.co/9AfZ3i07tE",en,,2022-05-21T22:52:38.000Z,1528146781569155072,1473155256,1528146781569155072,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
86,everyone,Twitter for iPhone,TURN ME THE FUCK UP TONIGHT @Bam1of1 https://t.co/UoB4zqsvLC,en,"[{'type': 'quoted', 'id': '1528042113635651586'}]",2022-05-21T21:18:45.000Z,1528123151191883776,1473155256,1528123151191883776,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
87,everyone,Twitter for iPhone,@heav_tyc proud of you,en,"[{'type': 'replied_to', 'id': '1528047734783193088'}]",2022-05-21T18:22:31.000Z,1528047734783193088,1473155256,1528078802647130113,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",2948751669
88,everyone,Twitter for iPhone,real raps https://t.co/kgTwsgluoT,en,,2022-05-21T18:15:13.000Z,1528076966443724806,1473155256,1528076966443724806,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",
89,everyone,Twitter for iPhone,i could make you happy https://t.co/tbzQ2bEIRo,en,"[{'type': 'quoted', 'id': '1528035708186812422'}]",2022-05-21T17:55:27.000Z,1528071988866072587,1473155256,1528071988866072587,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
90,everyone,Twitter for iPhone,ahhh damn. get back in the lab 💯 https://t.co/tIQM84LCHo,en,"[{'type': 'quoted', 'id': '1527989134710779905'}]",2022-05-21T17:54:51.000Z,1528071840824184833,1473155256,1528071840824184833,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",
91,everyone,Twitter for iPhone,@t_bizzle124 i will be getting a sleeve 🔜,en,"[{'type': 'replied_to', 'id': '1528070737063559170'}]",2022-05-21T17:51:06.000Z,1528070635204792324,1473155256,1528070897164242946,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1436485087500148739
92,everyone,Twitter for iPhone,#relatable #fyp https://t.co/RC5hxQTiTV,und,"[{'type': 'quoted', 'id': '1528070382854582272'}]",2022-05-21T17:50:04.000Z,1528070635204792324,1473155256,1528070635204792324,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",
93,everyone,Twitter for iPhone,@tg6 pardon,en,"[{'type': 'replied_to', 'id': '1528055647249616900'}]",2022-05-21T17:46:18.000Z,1528055647249616900,1473155256,1528069690244964352,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",17579279
94,everyone,Twitter for iPhone,my guys https://t.co/ZC1ohqXa2S,en,"[{'type': 'quoted', 'id': '1528040660086947849'}]",2022-05-21T17:04:18.000Z,1528059119617601538,1473155256,1528059119617601538,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",
